Dia,Mes,Horario,Evento,Responsavel,Espaco,Status
30,07,,Padroeiro de Pinheiro (Feriado Municipal),,Auditório Eng. Pesca/Ed. Física,
03,09,,Aniversário de Pinheiro (Feriado Municipal),,Auditório Eng. Pesca/Ed. Física,
07,09,,Independência do Brasil,,Auditório Eng. Pesca/Ed. Física,
12,10,,Nossa Senhora Aparecida,,Auditório Eng. Pesca/Ed. Física,
28,10,,Dia do servidor público,,Auditório Eng. Pesca/Ed. Física,
02,11,,Finados,,Auditório Eng. Pesca/Ed. Física,
15,11,,Proclamação da República,,Auditório Eng. Pesca/Ed. Física,
20,11,,Dia Nacional de Zumbi e da Consciência Negra,,Auditório Eng. Pesca/Ed. Física,
24,12,,Véspera de Natal (ponto facultativo),,Auditório Eng. Pesca/Ed. Física,
25,12,,Natal,,Auditório Eng. Pesca/Ed. Física,
30,12,,Véspera de Confraternização Universal (ponto facultativo),,Auditório Eng. Pesca/Ed. Física,
08-10,04,Dia todo,Reservado Enfermagem,Prof. Luís Fernando,Laboratório Informática Saúde,BLOQUEADO
14-15,04,Dia todo,Reservado Enfermagem,Prof. Luís Fernando,Laboratório Informática Saúde,BLOQUEADO
25,04,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
04,05,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
10,05,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
16,05,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
17,05,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
19,05,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
21,05,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
22,05,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
24,05,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
26,05,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
01,06,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
02,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
05,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
08,06,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
09,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
11,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
13,06,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
14,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
16,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
18,06,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
19,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
21,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
23,06,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
24,06,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
26,06,,Reunião enfermeiros rede,,Laboratório Informática Saúde,
03,07,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
06,07,14h-17h30,Reservado,Prof. Adilson (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
07,07,08h-12h,Reservado,Prof. Joel Artur (Eng. Pesca),Laboratório Informática Saúde,BLOQUEADO
